name,title,start,Complete,Duration,cost,variance,planned,actual,Column,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9
Department of Agriculture,Financial Management Modernization Initiative (FMMI),2012,2012,360,7.32,0,5.09,5.09,,,,,,,,,
Department of Agriculture,Financial Management Modernization Initiative (FMMI),2012,2012,360,7.32,0,5.09,5.09,,,,,,,,,
Department of Agriculture,FNCS IT Infrastructure,2011,2012,628,21.04546,0,21.04546,21.045495,,,,,,,,,
Department of Agriculture,FPA-P2 - Fire Program Analysis System - Phase 2,2005,2020,5487,71.42413,0,0.735925,0.735925,,,,,,,,,
Department of Agriculture,Public Health Data Communications Infrastructure System (PHDCIS),2006,2018,4645,242.984,0,11.441,11.441,,,,,,,,,
Department of Agriculture,Public Health Data Communications Infrastructure System (PHDCIS),2006,2018,4645,242.985,0,11.441,11.441,,,,,,,,,
Department of Agriculture,Public Health Data Communications Infrastructure System (PHDCIS),2006,2018,4645,242.985,0,11.442,11.442,,,,,,,,,
Department of Agriculture,Public Health Data Communications Infrastructure System (PHDCIS),2006,2018,4645,242.984,0,11.441,11.441,,,,,,,,,
Department of Agriculture,Public Health Data Communications Infrastructure System (PHDCIS),2006,2018,4645,242.984,0,11.441,11.441,,,,,,,,,
Department of Agriculture,Public Health Data Communications Infrastructure System (PHDCIS),2006,2018,4645,242.985,0,5.656,5.656,,,,,,,,,
Department of Agriculture,FSIS Public Health Information Consolidation Projects (PHICP),2007,2018,4112,141.478,0,0.00225,0.00225,,,,,,,,,
Department of Agriculture,Human Resources Line of Business:  Service Center,2011,2012,419,16.374,39.63,16.374,9.885,,,,,,,,,
Department of Agriculture,IBS - Incident Business System,2011,2012,628,2.7036,0,2.7036,2.7036,,,,,,,,,
Department of Agriculture,Integrated Acquisition System (IAS) (OPPM),2011,2011,319,0.7,0,0.7,0.7,,,,,,,,,
Department of Agriculture,Integrated Acquisition System (IAS) (OPPM),2011,2011,137,0.15,0,0.15,0.15,,,,,,,,,
Department of Agriculture,Integrated Acquisition System (IAS) (OPPM),2011,2012,385,0.35,0,0.35,0.35,,,,,,,,,
Department of Agriculture,Integrated Program Accounting System (IPAS),2011,2012,628,8.210163,0,8.210163,8.210172,,,,,,,,,
Department of Agriculture,NASS Survey Processing System,2004,2013,3287,65.733,0,3.412,3.412,,,,,,,,,
Department of Commerce,Animal Disease Traceability Information System (ADTIS),2011,2012,629,0.03,0,0.03,0.03,,,,,,,,,
Department of Agriculture,Animal Disease Traceability Information System (ADTIS),2011,2012,456,0.7,0,0.7,0.7,,,,,,,,,
Department of Agriculture,Animal Disease Traceability Information System (ADTIS),2011,2012,629,1.017,0,1.017,1.017,,,,,,,,,
Department of Agriculture,NRM - Natural Resource Manager,2011,2012,628,4.885,0,4.884,4.884,,,,,,,,,
Department of Agriculture,NRM - Natural Resource Manager,2011,2012,628,7.02,0,7.018,7.018,,,,,,,,,
Department of Agriculture,NRM - Natural Resource Manager,2011,2012,415,6.958,0,6.958,6.958,,,,,,,,,
Department of Agriculture,NRM - Natural Resource Manager,2012,2012,148,4.175,0,4.175,4.175,,,,,,,,,
Department of Agriculture,NRM - Natural Resource Manager,2012,2012,237,4.175,0,4.175,4.175,,,,,,,,,
Department of Agriculture,NRM - Natural Resource Manager,2012,2012,264,1.392,0,1.391,1.391,,,,,,,,,
Department of Agriculture,NRM - Natural Resource Manager,2011,2011,355,0.2,0,0.2,0.2,,,,,,,,,
Department of Agriculture,NRM - Natural Resource Manager,2012,2012,358,0.4,0,0.3,0.3,,,,,,,,,
Department of Agriculture,Optimized Computing Environment (OCE),2012,2012,182,0.540347,0,0.540347,0.540347,,,,,,,,,
Department of Agriculture,Optimized Computing Environment (OCE),2012,2012,182,0.835822,0,0.835822,0.835822,,,,,,,,,
Department of Agriculture,Optimized Computing Environment (OCE),2012,2013,389,2.163072,0,2.163072,2.163072,,,,,,,,,
Department of Agriculture,Optimized Computing Environment (OCE),2012,2012,327,0.108154,0,0.108154,0.108154,,,,,,,,,
Department of Agriculture,Optimized Computing Environment (OCE),2012,2013,389,0.689479,0,0.689479,0.689479,,,,,,,,,
Department of Agriculture,Optimized Computing Environment (OCE),2012,2013,389,1.622304,0,1.622304,1.622304,,,,,,,,,
Department of Agriculture,Optimized Computing Environment (OCE),2012,2012,182,0.627291,0,0.627291,0.627291,,,,,,,,,
Department of Agriculture,Optimized Computing Environment (OCE),2012,2013,169,1.232951,0,1.232951,1.232951,,,,,,,,,
Department of Agriculture,Optimized Computing Environment (OCE),2012,2013,169,0.541523,0,0.541523,0.541523,,,,,,,,,
Department of Agriculture,Optimized Computing Environment (OCE),2012,2013,389,1.39304,0,1.39304,1.39304,,,,,,,,,
Department of Agriculture,Optimized Computing Environment (OCE),2012,2012,182,0.182509,0,0.182509,0.182509,,,,,,,,,
Department of Agriculture,Optimized Computing Environment (OCE),2012,2012,168,3.244608,0,3.244608,3.244608,,,,,,,,,
Department of Agriculture,Optimized Computing Environment (OCE),2012,2012,91,0.144069,0,0.144069,0.144069,,,,,,,,,
Department of Agriculture,Optimized Computing Environment (OCE),2012,2013,389,6.489216,0,6.489216,6.489216,,,,,,,,,
Department of Agriculture,Optimized Computing Environment (OCE),2012,2012,182,0.115711,0,0.115711,0.115711,,,,,,,,,
Department of Agriculture,Optimized Computing Environment (OCE),2012,2013,389,0.540768,0,0.540768,0.540768,,,,,,,,,
Department of Agriculture,Optimized Computing Environment (OCE),2012,2012,182,0.047588,0,0.047588,0.047588,,,,,,,,,
Department of Agriculture,Optimized Computing Environment (OCE),2012,2013,389,0.547257,0,0.547257,0.547257,,,,,,,,,
Department of Agriculture,Optimized Computing Environment (OCE),2012,2012,182,0.146007,0,0.146007,0.146007,,,,,,,,,
Department of Agriculture,Optimized Computing Environment (OCE),2012,2013,389,0.146007,0,0.146007,0.146007,,,,,,,,,
Department of Agriculture,Optimized Computing Environment (OCE),2012,2012,182,0.743556,0,0.743556,0.743556,,,,,,,,,
Department of Agriculture,Optimized Computing Environment (OCE),2012,2012,182,0.005408,0,0.005408,0.005408,,,,,,,,,
Department of Agriculture,Optimized Computing Environment (OCE),2012,2013,389,0.048669,0,0.048669,0.048669,,,,,,,,,
Department of Agriculture,Optimized Computing Environment (OCE),2012,2012,182,2.858292,0,2.858292,2.858292,,,,,,,,,
Department of Agriculture,Optimized Computing Environment (OCE),2012,2012,199,12.659379,0,12.659379,12.659379,,,,,,,,,
Department of Agriculture,Optimized Computing Environment (OCE),2012,2012,182,0.636808,0,0.636808,0.636808,,,,,,,,,
Department of Agriculture,Optimized Computing Environment (OCE),2012,2013,169,2.947186,0,2.947186,2.947186,,,,,,,,,
Department of Agriculture,Optimized Computing Environment (OCE),2012,2013,389,2.595686,0,2.595686,2.595686,,,,,,,,,
Department of Agriculture,RMA-13  Emerging Information Technology Architecture (EITA),2011,2011,264,0.813,0,0.813,0.813,,,,,,,,,
Department of Agriculture,RMA-13  Emerging Information Technology Architecture (EITA),2011,2012,444,1.728,0,1.728,1.728,,,,,,,,,
Department of Agriculture,RMA-13  Emerging Information Technology Architecture (EITA),2011,2012,444,1.9,0,1.9,1.9,,,,,,,,,
Department of Agriculture,RMA-13  Emerging Information Technology Architecture (EITA),2012,2012,269,1.728,0,1.728,1.728,,,,,,,,,
Department of Agriculture,RMA-13  Emerging Information Technology Architecture (EITA),2012,2012,269,1.9,0,1.9,1.9,,,,,,,,,
Department of Agriculture,RMA-13  Emerging Information Technology Architecture (EITA),2012,2013,445,5.303,0,5.303,5.303,,,,,,,,,
Department of Agriculture,RMA-13  Emerging Information Technology Architecture (EITA),2012,2013,445,1.9,0,1.9,1.9,,,,,,,,,
Department of Agriculture,RMA-13  Emerging Information Technology Architecture (EITA),2013,2013,268,5.303,0,5.303,5.303,,,,,,,,,
Department of Agriculture,RMA-13  Emerging Information Technology Architecture (EITA),2013,2013,268,1.9,0,1.9,1.9,,,,,,,,,
Department of Agriculture,ROSS - Resource Ordering and Status System,2011,2015,1723,8127.961,1.01,8.127961,8.045463,,,,,,,,,
Department of Agriculture,ROSS - Resource Ordering and Status System,2011,2013,752,7544.025,0,7.52596,7.52596,,,,,,,,,
Department of Agriculture,Store Tracking and Redemption System (STARS),2011,2012,628,5.470009,0,5.470008,5.469906,,,,,,,,,
Department of Agriculture,USDA Identity &amp; Access Management,2011,2012,392,3,0.01,2.8474,2.847,,,,,,,,,
Department of Agriculture,USDA Identity &amp; Access Management,2010,2011,599,0.07,-0.86,0.058,0.0585,,,,,,,,,
Department of Agriculture,USDA Identity &amp; Access Management,2011,2012,567,0.9,0,0.891,0.891,,,,,,,,,
Department of Agriculture,USDA Identity &amp; Access Management,2012,2012,89,0.03,0,0.03,0.03,,,,,,,,,
Department of Agriculture,USDA Identity &amp; Access Management,2012,2012,272,0.256,0,0.256,0.256,,,,,,,,,
Department of Agriculture,USDA Identity &amp; Access Management,2010,2011,368,0.225,-5.26,0.038,0.04,,,,,,,,,
Department of Agriculture,USDA Identity &amp; Access Management,2010,2010,355,4.407,2.2,4.407,4.31,,,,,,,,,
Department of Agriculture,USDA Identity &amp; Access Management,2011,2011,88,4.407,2.25,4.407,4.308,,,,,,,,,
Department of Agriculture,USDA Identity &amp; Access Management,2011,2011,176,4.407,1.5,4.407,4.341,,,,,,,,,
Department of Agriculture,USDA Identity &amp; Access Management,2011,2011,265,4.407,0,4.407,4.407,,,,,,,,,
Department of Agriculture,USDA Identity &amp; Access Management,2011,2011,355,3.3034,0,3.3034,3.3034,,,,,,,,,
Department of Agriculture,USDA Identity &amp; Access Management,2012,2012,89,3.3034,0,3.3034,3.3034,,,,,,,,,
Department of Agriculture,USDA Identity &amp; Access Management,2012,2012,177,3.3034,0,3.3034,3.3034,,,,,,,,,
Department of Agriculture,USDA Identity &amp; Access Management,2012,2012,266,3.3034,0,3.3034,3.3034,,,,,,,,,
Department of Agriculture,USDA Identity &amp; Access Management,2011,2012,443,0.25,0,0.123,0.123,,,,,,,,,
Department of Agriculture,"FSA Architecture, SDLC and Common IT Solutions  #0109",2011,2012,365,1.22028,1.31,1.22028,1.20429,,,,,,,,,
Department of Agriculture,"FSA Architecture, SDLC and Common IT Solutions  #0109",2011,2012,365,4.707543,1.8,4.70754,4.622721,,,,,,,,,
Department of Agriculture,"FSA Architecture, SDLC and Common IT Solutions  #0109",2011,2012,628,4.282884,0,4.282884,4.282884,,,,,,,,,
Department of Agriculture,"FSA Architecture, SDLC and Common IT Solutions  #0109",2011,2012,365,2.149643,0.4,2.149643,2.140975,,,,,,,,,
Department of Agriculture,Geographic Information System  (GIS) #84,2010,2012,1025,17.35,24.35,16.43,12.43,,,,,,,,,
Department of Agriculture,Geographic Information System  (GIS) #84,2010,2011,687,2.2,3.25,2.2,2.12855,,,,,,,,,
Department of Agriculture,Enterprise Human Capital Management (EHCM),2011,2012,359,10.301119,69.77,7.6778,2.321,,,,,,,,,
Department of Agriculture,Enterprise Human Capital Management (EHCM),2012,2013,360,9.765558,70.79,8.437644,2.465,,,,,,,,,
Department of Agriculture,AgPRS - USDA Public Safety Land Mobile Radio System,2011,2012,567,18.4645,3.33,10.8098,10.4498,,,,,,,,,
Department of Agriculture,AgPRS - USDA Public Safety Land Mobile Radio System,2011,2012,567,21.611,2.95,4.6095,4.47375,,,,,,,,,
Department of Agriculture,Forest Service Computer Base,2011,2012,651,0.55,0,0.4,0.4,,,,,,,,,
Department of Agriculture,Forest Service Computer Base,2010,2012,603,0.14,0,0.14,0.14,,,,,,,,,
Department of Agriculture,Forest Service Computer Base,2010,2012,577,0.32,0,0.15,0.15,,,,,,,,,
Department of Agriculture,Forest Service Computer Base,2011,2013,977,0.27,0,0.3,0.3,,,,,,,,,
Department of Agriculture,Forest Service Computer Base,2011,2012,458,0.75,0,0.5,0.5,,,,,,,,,
Department of Agriculture,Forest Service Computer Base,2007,2012,1914,0.5,0,0.5,0.5,,,,,,,,,
Department of Agriculture,Forest Service Computer Base,2009,2012,1066,0.1,0,0.1,0.1,,,,,,,,,
Department of Agriculture,Comprehensive Loan Program,2010,2024,5296,214.054,0.55,23.764871,23.633144,,,,,,,,,
Department of Agriculture,Comprehensive Loan Program,2010,2015,1824,14.836,4.47,2.56082,2.446351,,,,,,,,,
Department of Agriculture,Comprehensive Loan Program,2010,2015,1880,4.92,1.82,0.922544,0.905762,,,,,,,,,
Department of Agriculture,Comprehensive Loan Program,2010,2015,1947,11.272,1.18,2.867141,2.833405,,,,,,,,,
Department of Agriculture,Comprehensive Loan Program,2011,2013,815,1.505,0,0.498987,0.498987,,,,,,,,,
Department of Agriculture,Comprehensive Loan Program,2010,2014,1694,2.211,0,0.5,0.5,,,,,,,,,
Department of Agriculture,Comprehensive Loan Program,2010,2014,1661,4.004,0,1.7125,1.7125,,,,,,,,,
Department of Agriculture,Comprehensive Loan Program,2010,2013,1288,1.732,3.17,0.999167,0.967489,,,,,,,,,
Department of Agriculture,Comprehensive Loan Program,2010,2011,405,4.801,2.17,2.495101,2.440861,,,,,,,,,
Department of Agriculture,Comprehensive Loan Program,2010,2014,1275,2.545,0,0.44,0.44,,,,,,,,,
Department of Agriculture,Comprehensive Loan Program,2010,2024,5376,330.006,0,27.728684,27.728684,,,,,,,,,
Department of Agriculture,Comprehensive Loan Program,2010,2015,1898,10.028,-14.72,3.621126,4.154248,,,,,,,,,
Department of Agriculture,Comprehensive Loan Program,2010,2014,1657,5.474,-165.59,3.186588,8.463203,,,,,,,,,
Department of Agriculture,Comprehensive Loan Program,2010,2014,1741,11.13,1.55,5.421781,5.337533,,,,,,,,,
Department of Agriculture,Comprehensive Loan Program,2010,2014,1460,8.649,-0.13,3.212212,3.216402,,,,,,,,,
Department of Agriculture,Enterprise Information Management (EIM) #119,2011,2012,365,3.795235,3.32,3.795235,3.669104,,,,,,,,,
Department of Agriculture,Enterprise Information Management (EIM) #119,2011,2012,365,2.3252,9.16,2.3252,2.112327,,,,,,,,,
Department of Agriculture,Enterprise Information Management (EIM) #119,2011,2011,358,0.670791,1.1,0.670791,0.663409,,,,,,,,,
Department of Agriculture,Enterprise Information Management (EIM) #119,2011,2012,337,4.88587,6.01,4.88587,4.592241,,,,,,,,,
Department of Agriculture,Enterprise Information Management (EIM) #119,2011,2012,628,1.988088,0,1.988088,1.988088,,,,,,,,,
Department of Agriculture,Conservation Delivery Streamline Initiative (CDSI),2011,2012,386,9.712,0,9.712,9.712,,,,,,,,,
Department of Agriculture,Conservation Delivery Streamline Initiative (CDSI),2012,2012,269,10.386,0,10.386,10.386,,,,,,,,,
Department of Commerce,BEA Estimation Information Technology System (BEA-EITS),2011,2012,407,1.24,32.42,1.24,0.838,,,,,,,,,
Department of Commerce,BEA Estimation Information Technology System (BEA-EITS),2011,2012,224,0.413,-3.25,0.4,0.413,,,,,,,,,
Department of Commerce,BEA Estimation Information Technology System (BEA-EITS),2010,2011,627,9.696,-0.04,2.424,2.425,,,,,,,,,
Department of Commerce,BEA Estimation Information Technology System (BEA-EITS),2010,2011,627,0.59,0,0.13,0.13,,,,,,,,,
Department of Commerce,BEA Estimation Information Technology System (BEA-EITS),2011,2012,628,9.76,3.48,9.76,9.42,,,,,,,,,
Department of Commerce,BEA Estimation Information Technology System (BEA-EITS),2011,2012,628,0.6,0,0.6,0.6,,,,,,,,,
Department of Commerce,BEA Estimation Information Technology System (BEA-EITS),2011,2012,229,0.175,-5.71,0.175,0.185,,,,,,,,,
Department of Commerce,BEA Estimation Information Technology System (BEA-EITS),2011,2011,356,0.03,0,0.03,0.03,,,,,,,,,
Department of Commerce,BEA Estimation Information Technology System (BEA-EITS),2011,2012,629,0.16,43.75,0.16,0.09,,,,,,,,,
Department of Commerce,BEA Estimation Information Technology System (BEA-EITS),2012,2012,210,0.532,9.62,0.532,0.4808,,,,,,,,,
Department of Commerce,BEA Estimation Information Technology System (BEA-EITS),2012,2012,119,0.4,42,0.35,0.203,,,,,,,,,
Department of Commerce,BEA Estimation Information Technology System (BEA-EITS),2012,2012,210,0.49,19.67,0.49,0.3936,,,,,,,,,
Department of Commerce,BEA Estimation Information Technology System (BEA-EITS),2012,2012,212,0.35,61.43,0.35,0.135,,,,,,,,,
Department of Commerce,BEA Estimation Information Technology System (BEA-EITS),2012,2012,132,0.48,0,0.48,0.48,,,,,,,,,
Department of Commerce,BEA Estimation Information Technology System (BEA-EITS),2012,2013,446,0.375,0,0.375,0.375,,,,,,,,,
Department of Commerce,BEA Estimation Information Technology System (BEA-EITS),2012,2013,628,0.46,0,0.46,0.46,,,,,,,,,
Department of Commerce,BEA Estimation Information Technology System (BEA-EITS),2012,2013,598,0.475,0,0.475,0.475,,,,,,,,,
Department of Commerce,BEA Estimation Information Technology System (BEA-EITS),2012,2012,356,0.2,0,0.15,0.15,,,,,,,,,
Department of Commerce,Census - American Community Survey (ACS),2011,2012,628,11.365234,17.31,11.365234,9.397782,,,,,,,,,
Department of Commerce,Census - American Community Survey (ACS),2011,2012,628,15.796858,-2.45,15.796858,16.183145,,,,,,,,,
Department of Commerce,Census - American Community Survey (ACS),2011,2012,628,14.327908,-1.45,14.327908,14.536141,,,,,,,,,
Department of Commerce,Census - Geographic Support Systems (GSS),2011,2013,992,12.824599,0,5.766296,5.766137,,,,,,,,,
Department of Commerce,Census - Geographic Support Systems (GSS),2011,2013,992,14.534012,0,8.830269,8.829927,,,,,,,,,
Department of Commerce,Census - Local Employment Dynamics IT Support (LED),2010,2012,809,0.555,5.17,0.286,0.2712,,,,,,,,,
Department of Commerce,Census - Local Employment Dynamics IT Support (LED),2010,2012,901,0.675,9.51,0.548,0.4959,,,,,,,,,
Department of Commerce,Census - Local Employment Dynamics IT Support (LED),2010,2012,878,1.6,33.12,1.395,0.933,,,,,,,,,
Department of Commerce,Census - Local Employment Dynamics IT Support (LED),2010,2014,1723,3.27,17.7,0.534,0.4395,,,,,,,,,
Department of Commerce,Census - Local Employment Dynamics IT Support (LED),2011,2015,1664,5.529,1.68,0.388,0.3815,,,,,,,,,
Department of Commerce,Census - Local Employment Dynamics IT Support (LED),2011,2012,394,1.238,-3.7,0.438,0.4542,,,,,,,,,
Department of Commerce,Census - Local Employment Dynamics IT Support (LED),2010,2015,2088,10.5,2.07,2.341,2.2926,,,,,,,,,
Department of Commerce,NOAA/NESDIS/ Environmental Satellite Processing Center (ESPC),2011,2012,412,0.275,-3.64,0.275,0.285,,,,,,,,,
Department of Commerce,NOAA/NESDIS/ Environmental Satellite Processing Center (ESPC),2011,2012,533,0.606,0.17,0.606,0.605,,,,,,,,,
Department of Commerce,NOAA/NESDIS/ Environmental Satellite Processing Center (ESPC),2011,2011,325,0.0075,-833.33,0.0075,0.07,,,,,,,,,
Department of Commerce,NOAA/NESDIS/ GOES-R Series Ground Segment,2006,2020,5376,233.156,0.38,33.728,33.601,,,,,,,,,
Department of Commerce,NOAA/NESDIS/ GOES-R Series Ground Segment,2007,2015,3188,54.8,0,10.3,10.3,,,,,,,,,
Department of Commerce,NOAA/NESDIS/ GOES-R Series Ground Segment,2007,2016,3554,117.419,0,13,13,,,,,,,,,
Department of Commerce,NOAA/NESDIS/ GOES-R Series Ground Segment,2009,2014,1999,77.976,0.04,59.576,59.555,,,,,,,,,
Department of Commerce,NOAA/NESDIS/ GOES-R Series Ground Segment,2010,2020,3652,130.703,-0.16,60.273,60.371,,,,,,,,,
Department of Commerce,NOAA/NESDIS/ GOES-R Series Ground Segment,2010,2018,2892,42.561,0.16,13.673,13.651,,,,,,,,,
Department of Commerce,NOAA/NESDIS/ GOES-R Series Ground Segment,2012,2016,1659,35.313,0,2.5,2.5,,,,,,,,,
Department of Commerce,NOAA/NESDIS/ NPP Data Exploitation (NDE),2011,2012,626,2.308,-8.65,2,2.173,,,,,,,,,
Department of Commerce,NOAA/NESDIS/ NPP Data Exploitation (NDE),2011,2012,520,0.475,-24.42,0.475,0.591,,,,,,,,,
Department of Commerce,NOAA/NESDIS/ NPP Data Exploitation (NDE),2011,2012,612,1.58,0,1.58,1.58,,,,,,,,,
Department of Commerce,NOAA/NESDIS/ NPP Data Exploitation (NDE),2012,2012,0,0.092,77,0.4,0.092,,,,,,,,,
Department of Commerce,NOAA/NESDIS/ Joint Polar Satellite System (JPSS) Ground System (formerly NPOESS Ground System),2010,2011,627,25.4,-37.32,25.4,34.879,,,,,,,,,
Department of Commerce,NOAA/NESDIS/ Joint Polar Satellite System (JPSS) Ground System (formerly NPOESS Ground System),2012,2012,272,94.4061,-18.7,94.4061,112.0589,,,,,,,,,
Department of Commerce,NOAA/NESDIS/ Joint Polar Satellite System (JPSS) Ground System (formerly NPOESS Ground System),2012,2014,848,41.06,-0.22,41.06,41.151,,,,,,,,,
Department of Commerce,NOAA/NESDIS/ National Climatic Data Center (NCDC),2011,2012,448,0.075,0,0.075,0.075,,,,,,,,,
Department of Commerce,NOAA/NESDIS/ National Climatic Data Center (NCDC),2010,2012,993,8,11,6,5.34,,,,,,,,,
Department of Commerce,NOAA/NESDIS/ National Climatic Data Center (NCDC),2011,2014,1361,0.5,14.29,0.175,0.15,,,,,,,,,
Department of Commerce,NOAA/NESDIS/ National Climatic Data Center (NCDC),2011,2012,634,0.9,0,0.4,0.4,,,,,,,,,
Department of Commerce,NOAA/NESDIS/ National Climatic Data Center (NCDC),2010,2012,993,75,4.51,20.5,19.576,,,,,,,,,
Department of Commerce,NOAA/NESDIS/ POES Ground System (POES-GS),2011,2012,628,6.22,-8.91,6.22,6.774,,,,,,,,,
Department of Commerce,NOAA/NESDIS/ POES Ground System (POES-GS),2011,2012,628,0.15,26.67,0.15,0.11,,,,,,,,,
Department of Commerce,NOAA/NESDIS/ POES Ground System (POES-GS),2011,2012,628,1,3.1,1,0.969,,,,,,,,,
Department of Commerce,NOAA/NESDIS/ POES Ground System (POES-GS),2011,2012,628,0.49,2.04,0.49,0.48,,,,,,,,,
Department of Commerce,NOAA/NESDIS/ POES Ground System (POES-GS),2011,2012,628,1.6,0,1.6,1.6,,,,,,,,,
Department of Commerce,NOAA/NWS/ Advanced Weather Interactive Processing System (AWIPS),2006,2012,2278,30.161314,62.8,2.52,0.9374,,,,,,,,,
Department of Commerce,NOAA/NWS/ Advanced Weather Interactive Processing System (AWIPS),2007,2013,2272,7.849,0,1,1,,,,,,,,,
Department of Commerce,NOAA/NWS/ Advanced Weather Interactive Processing System (AWIPS),2008,2014,2550,8.972,0,1,1,,,,,,,,,
Department of Commerce,NOAA/NWS/ Advanced Weather Interactive Processing System (AWIPS),2008,2014,2457,8.824,-7.9,2,2.15799,,,,,,,,,
Department of Commerce,NOAA/NWS/ Advanced Weather Interactive Processing System (AWIPS),2008,2012,1635,2.281,16.92,0.75,0.62309,,,,,,,,,
Department of Commerce,NOAA/NWS/ Advanced Weather Interactive Processing System (AWIPS),2010,2014,1723,5.549,19.23,1.25,1.00965,,,,,,,,,
Department of Commerce,NOAA/NWS/ Advanced Weather Interactive Processing System (AWIPS),2011,2012,628,3.386,0,1,1,,,,,,,,,
Department of Commerce,NOAA/NWS/ Advanced Weather Interactive Processing System (AWIPS),2010,2011,627,63.352,13.77,63.352,54.629,,,,,,,,,
Department of Commerce,NOAA/NWS/ Data Assimilation and Modeling,2010,2016,2454,48.655,0.79,13.168,13.064,,,,,,,,,
Department of Commerce,NOAA/NWS/ Data Assimilation and Modeling,2012,2012,4,1.62,0,0.93,0.93,,,,,,,,,
Department of Commerce,NOAA/NWS/ NCEP Weather and Climate Operational Supercomputer Systems (WCOSS Primary and Backup),2010,2017,2336,90,0.02,16.150005,16.146005,,,,,,,,,
Department of Commerce,NOAA/NWS/ NCEP Weather and Climate Operational Supercomputer Systems (WCOSS Primary and Backup),2011,2013,804,21.86,0.01,21.351,21.348,,,,,,,,,
Department of Commerce,NOAA/NWS/ NCEP Weather and Climate Operational Supercomputer Systems (WCOSS Primary and Backup),2011,2013,993,2.4,0,1.500004,1.500004,,,,,,,,,
Department of Commerce,NOAA/NWS/ NCEP Weather and Climate Operational Supercomputer Systems (WCOSS Primary and Backup),2011,2013,993,3.936,0.89,3.935,3.9,,,,,,,,,
